CATALOG -> LIBRARY OPAC -- Totals by All URLs
130505 thru 130505 No filters in effect
Host URL	Hits
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB10.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB6.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB43.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB37.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB22.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB9.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB46.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB17.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB30.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB23.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB34.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB5.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/nph-proxy.cgi/000010A/http/books.google.com/books?bibkeys=ISBN%3A9749067231&jscmd=viewapi&callback=listBookEntries	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB41.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB19.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB21.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB39.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB4.32063.jpg	5
https://catalog.library.cornell.edu/cgi-bin/nph-proxy.cgi/000010A/http/books.google.com/books?bibkeys=LCCN%3A72628082&jscmd=viewapi&callback=listBookEntries	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB26.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB13.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB11.32078.jpg	5
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=I8TNB_AmCqWX6FGdPWiUGb8vRvCtJ&SEQ=20130505235659	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB14.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB36.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB32.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB27.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB10.12175.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB18.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB2.3997.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB25.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB38.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB7.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB15.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB33.32078.jpg	5
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=D-nFJDhibjano1ycwSz1an6PdqsT6&SEQ=20130505000213	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB31.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB20.32078.jpg	5
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=m4QjH59Lr_AEQCk4z9TbKO6Pdn127&SEQ=20130505195135	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB24.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB29.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB44.32078.jpg	5
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatronRequestBibLogon&PID=KrPg2ONKS5t2g00EZiYPfq64zeUj9&SEQ=20130505144157	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB16.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB12.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB35.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB45.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB8.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB28.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB3.32078.jpg	5
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=z5QzGdU3k3QgmyRkzGvjWKda2R9NU&SEQ=20130505115110	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB9.12175.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB42.32078.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB3.32063.jpg	5
https://catalog.library.cornell.edu/cgi-bin/Pwebrecon.cgi?authenticate=Y&PID=CVnCbO-e9gXsYFzjMpCofJv8u8gXS&SEQ=20130505181426&PAGE=pbPatron	5
https://catalog.library.cornell.edu/cgi-bin/nph-proxy.cgi/000010A/http/books.google.com/books?bibkeys=ISBN%3A960204019X&jscmd=viewapi&callback=listBookEntries	4
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatronRequestBibLogon&PID=_3W0mX0vCNg8tPnkHh-Z5fCEteWC5&SEQ=20130505114724	4
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB1.3530.jpg	4
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB1.21266.jpg	4
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB11.12175.jpg	4
https://catalog.library.cornell.edu/cgi-bin/Pwebrecon.cgi?BBID=5384513&DB=local	4
https://catalog.library.cornell.edu/cgi-bin/nph-proxy.cgi/000010A/http/books.google.com/books?bibkeys=LCCN%3A99031591&jscmd=viewapi&callback=listBookEntries	4
https://catalog.library.cornell.edu/cgi-bin/Pwebrecon.cgi?authenticate=Y&PID=SNB8OEECnC5s2aDlNVtwDGdNuFFvS&SEQ=20130505174636&PAGE=pbPatron	4
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB1.7720.jpg	4
https://catalog.library.cornell.edu/cgi-bin/Pwebrecon.cgi?Search_Arg=United+Nations+Official+Record&Search_Code=FT%2A&CNT=50&HIST=0&SL=None&DB=local	4
https://catalog.library.cornell.edu/cgi-bin/nph-proxy.cgi/000010A/http/books.google.com/books?bibkeys=ISBN%3A0072314036&jscmd=viewapi&callback=listBookEntries	4
https://catalog.library.cornell.edu/cgi-bin/Pwebrecon.cgi?ti=1,0&Search%5FArg=Hooker%2C%20Joseph&Search%5FCode=NAME%5F%2B&CNT=50&REC=0&RD=0&RC=0&PID=ZZ8gRumX6KYWAxJGrMTQlFECNSREl&SEQ=20130505205456&SID=1	4
https://catalog.library.cornell.edu/cgi-bin/nph-proxy.cgi/000010A/http/books.google.com/books?bibkeys=ISBN%3A9780393066579&jscmd=viewapi&callback=listBookEntries	4
https://catalog.library.cornell.edu/cgi-bin/Pwebrecon.cgi?BBID=1806964&DB=local	4
https://catalog.library.cornell.edu/cgi-bin/nph-proxy.cgi/000010A/http/books.google.com/books?bibkeys=LCCN%3A91649704&jscmd=viewapi&callback=listBookEntries	4
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB1.23946.jpg	4
https://catalog.library.cornell.edu/cgi-bin/Pwebrecon.cgi?Search_Arg=United+Nations+Economic+and+Social+Council+Official+Records&Search_Code=FT%2A&CNT=50&HIST=0&SL=None&DB=local	4
https://catalog.library.cornell.edu/cgi-bin/Pwebrecon.cgi?Search%5FArg=Tr%C6%B0%C6%A1ng%2C%20P%2E%20J%2E%20B%2E%20V%C4%A9nh%20K%C3%BD&Search%5FCode=NAME%5F&CNT=50&PID=8LpYxFRW_WihahCY2TsblnrGBolY&BROWSE=1&HC=42&SID=12	4
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB1.7011.jpg	4
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB1.29391.jpg	4
https://catalog.library.cornell.edu/cgi-bin/nph-proxy.cgi/000010A/http/books.google.com/books?bibkeys=LCCN%3A2006261062&jscmd=viewapi&callback=listBookEntries	4
https://catalog.library.cornell.edu/cgi-bin/Pwebrecon.cgi?ti=51,0&SAB1=thesis%20D13%2E9&BOOL1=as%20a%20phrase&FLD1=Holdings%20Keyword%20Anywhere%20%28HKEY%29&GRP1=AND%20with%20next%20set&SAB2=&BOOL2=all%20of%20these&FLD2=Keyword%20Anywhere%20%28GKEY%29&CNT=50&PID=CQrNkr_g9bXodNZGqDC19Xfz5Z8V&SEQ=20130505153408&SID=1	4
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB47.32078.jpg	4
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB1.20807.jpg	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=50_kXa7fshIn8W2rLBD-Hthcjb4Qm&SEQ=20130505183940	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=5ChNe3hiTwoDKEwF6d9nC8ZcwRSbO&SEQ=20130505105304	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=j6k8EVlyPBVtY8oI-govgMhfoyyR&SEQ=20130505095424	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=1aK4yq_6KbECaTE3O8ziuIi21sdP5&SEQ=20130505233533	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=T6FSWTT4py6zTaIW3p7DvebH7h5fd&SEQ=20130505115824	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=oyefXzSeZnVtu3FqyW2i4qzQCN4Ra&SEQ=20130505113356	3
https://catalog.library.cornell.edu/cgi-bin/Pwebrecon.cgi?v2=1&ti=1,1&SEQ=20130505134020&Search%5FArg=political%20economy%20of%20war%20and%20peace&Search%5FCode=TALL&CNT=50&PID=vDzBYmuaLa3xpfqwhYEIFcOBPBa3e&SID=4	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=0pUexDYRiU_QdnxoVusi-zrVzeJV&SEQ=20130505223105	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatronRequestBibLogon&PID=TyVhH0pwD2efV3a_ceALaEM5S5Dju&SEQ=20130505194039	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=pidMf8IGvRrolFkf8Of5C0gZGfwhR&SEQ=20130505003911	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=uHpk_f4i5dH7W88FlKW_vqzQyp_cv&SEQ=20130505195439	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=M1YpSNwjMgl3xcnF6hCQ0V2BdnYTs&SEQ=20130505142735	3
https://catalog.library.cornell.edu/cgi-bin/Pwebrecon.cgi?PAGE=pbLogon&PID=D-OnJEf9Q0_MHQ-sRipWOsx3h7Oy5&SEQ=20130505203256	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=U_himfQ4ImYO3ONBFAqyP7E0oBvX_&SEQ=20130505130451	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=fRrDGFQ_r_AETboXRPrKbrG-g3t8e&SEQ=20130505204114	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=mEf7QBFCh7lbzGQsvgwtE2hcx3IB_&SEQ=20130505014041	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=QYnRVkviZqdht8gBFjBNZzkCoBvX_&SEQ=20130505012801	3
https://catalog.library.cornell.edu/cgi-bin/nph-proxy.cgi/000010A/http/books.google.com/books?bibkeys=ISBN%3A0941576132&jscmd=viewapi&callback=listBookEntries	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=EtZwFeU1-jIb2Cjf_VL0EBQJjWeDv&SEQ=20130505105110	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=Yo2gWffOaLuNUaGeY2WpfeS5tEfK3&SEQ=20130505115706	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=XIn7P2RuahC7cL1jYZjNComUPfXmY&SEQ=20130505170811	3
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB4.21266.jpg	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=SEsDGEHxejCE9J24IG-E9Ia5oBvf&SEQ=20130505101548	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=5yVWhMTCNPz6kMTiCmVK40uAYFk&SEQ=20130505152842	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatronRequestNoBibLogon&PID=HIGXvww1SV9fmu2tlFhVMuslEt3l&SEQ=20130505095405	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=yp0gaSmDCN4HrkjQiyV_rHsCUPzX2&SEQ=20130505170404	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=4DwOzf4TMJw_rRytH4f0WFBrTrnO&SEQ=20130505155040	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=yMD54al5XR9YQtkRje2mxlN2O6VT&SEQ=20130505154306	3
